Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
20-Nov-25,Thursday,November,2025,Q4,EQ,1014.00,1014.00,989.00,1006.25,996.95,993.60,1000.69,1050.00,588.00,852319.00,23878.00
19-Nov-25,Wednesday,November,2025,Q4,EQ,1032.00,1044.00,1002.20,1026.65,1004.00,1006.25,1016.33,1050.00,588.00,1574241.00,38706.00
18-Nov-25,Tuesday,November,2025,Q4,EQ,1023.80,1036.00,1017.75,1021.55,1024.25,1026.65,1029.17,1050.00,588.00,1175321.00,28449.00
17-Nov-25,Monday,November,2025,Q4,EQ,1025.50,1029.00,1011.85,1023.85,1023.10,1021.55,1020.35,1050.00,588.00,837345.00,24917.00
14-Nov-25,Friday,November,2025,Q4,EQ,1027.00,1050.00,1017.00,1021.40,1025.50,1023.85,1031.98,1050.00,588.00,2190871.00,82137.00
13-Nov-25,Thursday,November,2025,Q4,EQ,1003.20,1035.75,998.35,1001.90,1022.95,1021.40,1024.54,1035.75,588.00,2163072.00,54210.00
12-Nov-25,Wednesday,November,2025,Q4,EQ,989.35,1021.60,986.00,989.30,1001.00,1001.90,1005.80,1021.60,588.00,1704880.00,43069.00
11-Nov-25,Tuesday,November,2025,Q4,EQ,960.15,994.45,947.30,959.15,989.85,989.30,979.45,1011.00,588.00,1703879.00,37960.00
10-Nov-25,Monday,November,2025,Q4,EQ,965.55,972.50,955.10,960.60,959.00,959.15,965.17,1011.00,588.00,674839.00,22225.00
07-Nov-25,Friday,November,2025,Q4,EQ,966.85,973.70,945.20,968.15,966.35,960.60,960.26,1090.95,588.00,1384632.00,34712.00
06-Nov-25,Thursday,November,2025,Q4,EQ,985.90,994.60,962.80,985.90,969.80,968.15,974.41,1090.95,588.00,1064046.00,31974.00
04-Nov-25,Tuesday,November,2025,Q4,EQ,999.05,1011.00,976.65,994.55,983.00,985.90,995.06,1090.95,588.00,1710963.00,44863.00
03-Nov-25,Monday,November,2025,Q4,EQ,987.00,1005.90,975.50,986.20,994.30,994.55,996.98,1090.95,588.00,1679026.00,45895.00
31-Oct-25,Friday,October,2025,Q4,EQ,970.80,1004.00,960.10,965.65,980.00,986.20,984.78,1090.95,588.00,2484075.00,52300.00
